GEO.sample	group.ID
GSM5639464	0
GSM5639465	0
GSM5639466	0
GSM5639467	1
GSM5639468	1
GSM5639469	1
GSM5639470	2
GSM5639471	2
GSM5639472	2
GSM5639473	3
GSM5639474	3
GSM5639475	3
GSM5605959	0
GSM5605960	1
GSM5605961	2
GSM5605962	3
GSM5605963	4
GSM5605964	5
GSM5605965	0
GSM5605966	1
GSM5605967	2
GSM5605968	3
GSM5605969	4
GSM5605970	5
GSM5605971	6
GSM5605972	7
GSM5605973	6
GSM5605974	7
GSM4614890	0
GSM4614891	0
GSM4614892	0
GSM4614893	1
GSM4614894	1
GSM4614895	1
GSM4614896	2
GSM4614897	2
GSM4614898	2
GSM4614899	3
GSM4614900	3
GSM4614901	3
GSM4051323	0
GSM4051324	0
GSM4051325	0
GSM4051326	1
GSM4051327	1
GSM4051328	1
GSM4051329	2
GSM4051330	2
GSM4051331	2
GSM4051332	3
GSM4051333	3
GSM4051334	3
GSM4051335	4
GSM4051336	4
GSM4051337	4
GSM4051338	5
GSM4051339	5
GSM4051340	5
GSM2981527	0
GSM2981528	0
GSM2981529	0
GSM2981530	1
GSM2981531	1
GSM2981532	1
GSM2981533	2
GSM2981534	2
GSM2981535	2
GSM2981536	3
GSM2981537	3
GSM2981538	3
GSM2981539	4
GSM2981540	4
GSM2981541	4
GSM2981542	5
GSM2981543	5
GSM2981544	5
GSM2981545	6
GSM2981546	6
GSM2981547	6
GSM2981548	7
GSM2981549	7
GSM2981550	7
GSM2981551	8
GSM2981552	8
GSM2981553	8
GSM2981554	9
GSM2981555	9
GSM2981556	9
GSM2981557	10
GSM2981558	10
GSM2981559	10
GSM2981560	11
GSM2981561	11
GSM2981562	11
GSM2981563	12
GSM2981564	12
GSM2981565	12
GSM2981566	13
GSM2981567	13
GSM2981568	13
GSM2981569	14
GSM2981570	14
GSM2981571	14
GSM2981572	15
GSM2981573	15
GSM2981574	15
GSM2981575	16
GSM2981576	16
GSM2981577	16
GSM2981578	17
GSM2981579	17
GSM2981580	17
GSM2981581	18
GSM2981582	18
GSM2981583	18
GSM2981584	19
GSM2981585	19
GSM2981586	19
GSM2981587	20
GSM2981588	20
GSM2981589	20
GSM2981590	21
GSM2981591	21
GSM2981592	21
GSM2981593	22
GSM2981594	22
GSM2981595	22
GSM2981596	23
GSM2981597	23
GSM2981598	23
GSM3136693	0
GSM3136694	1
GSM3136695	2
GSM3136696	3
GSM3136697	4
GSM3136698	5
GSM3136699	0
GSM3136700	1
GSM3136701	2
GSM3136702	3
GSM3136703	4
GSM3136704	5
GSM3136705	0
GSM3136706	1
GSM3136707	2
GSM3136708	3
GSM3136709	4
GSM3136710	5
GSM3136711	0
GSM3136712	1
GSM3136713	2
GSM3136714	3
GSM3136715	4
GSM3136716	5
GSM1054974	0
GSM1054975	0
GSM1054976	0
GSM1054977	1
GSM1054978	1
GSM1054979	1
GSM1054980	2
GSM1054981	2
GSM1054982	2
GSM1054983	3
GSM1054984	3
GSM1054985	3
GSM870357	0
GSM870358	0
GSM870359	0
GSM870360	1
GSM870361	1
GSM870362	1
GSM870363	2
GSM870364	2
GSM870365	2
GSM870366	3
GSM870367	3
GSM870368	3
GSM732600	0
GSM732601	0
GSM732602	0
GSM732603	1
GSM732604	1
GSM732605	1
GSM732606	2
GSM732607	2
GSM732608	2
GSM732609	3
GSM732610	3
GSM732611	3
GSM732612	4
GSM732613	4
GSM732614	4
GSM501184	0
GSM501185	0
GSM501186	1
GSM501187	1
GSM501188	2
GSM501189	2
GSM501190	3
GSM501191	3
GSM501192	4
GSM501193	4
GSM501194	5
GSM501195	5
GSM501196	6
GSM501197	6
GSM501198	7
GSM501199	7
GSM501200	8
GSM501201	8
GSM501202	9
GSM501203	9
GSM501204	10
GSM501205	10
